track_name,artist,album,duration_ms,genres,year
Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,205933,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']",1970
'Tain't Nobody's Bizness If I Do,Bessie Smith,The Essential Bessie Smith,205933,"['brazilian hip hop', 'brazilian reggae', 'brazilian rock', 'latin alternative', 'rock nacional brasileiro']",1970
St. George & The Dragonet,Stan Freberg,The Capitol Singles Collection,206253,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'rock']",1970
Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,Tony Orlando & Dawn,Tuneweaving,206253,"['j-acoustic', 'j-pop']",1970
Daddy Don't You Walk So Fast,Wayne Newton,The Best Of Wayne Newton,206333,"['k-pop', 'k-pop boy group']",1970
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,The Singles (Expanded),206360,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",1970
E.T.,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,206373,"['alternative metal', 'alternative rock', 'blues rock', 'grunge', 'hard rock', 'modern rock', 'nu metal', 'rock']",1970
Downhearted Blues,Bessie Smith,The Anthology,206573,"['memphis hip hop', 'trap']",1970
Can't Remember to Forget You (feat. Rihanna),Shakira,Shakira. (Expanded Edition),206867,"['k-pop', 'k-pop boy group']",1970
Stitches,Shawn Mendes,Handwritten,206880,"['eau claire indie', 'indie folk', 'melancholia']",1970
Why Me,Kris Kristofferson,Jesus Was a Capricorn,206960,"['dance pop', 'europop', 'pop', 'pop rock', 'post-teen pop', 'talent show', 'uk pop']",1970
Cool Drink of Water Blues,Tommy Johnson,Tommy Johnson 1928 - 1929,207360,"['modern rock', 'pop punk', 'post-grunge', 'rock']",1970
Touch Me In The Morning,Diana Ross,Touch Me In The Morning,207413,"['contemporary country', 'country', 'country road']",1970
(I Can't Help) Falling In Love With You,UB40,Promises And Lies,207440,"['reggaeton', 'reggaeton flow', 'trap latino']",1970
Gold Digger,Kanye West,Late Registration,207627,"['dance pop', 'indie cafe pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",1970
